product_id,product_name,country,base_price,current_selling,current_markup_pct,markup_if_single_orig,markup_if_doubled_orig,corrected_selling_if_doubled
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,AL,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,CH,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,DE,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,FR,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,GB,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,IE,49.00,98.49,101.00,78.00,55.00,87.22
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,KE,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,MT,49.00,96.04,96.00,73.00,50.00,84.77
bd23697c-2841-4e48-bb89-6574d3556f29,Al Hiza Cool Water Roll-On Perfume,US,49.00,96.04,96.00,73.00,50.00,84.77
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,AL,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,CH,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,DE,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,FR,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,GB,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,IE,50.00,100.50,101.00,78.00,55.00,89.00
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,KE,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,MT,50.00,98.00,96.00,73.00,50.00,86.50
47491e81-52bd-43ac-9abb-03732962b37a,Al Hiza CR7 Roll-On Perfume | Alcohol-Free Attar | Long Lasting Fragrance | 6ml,US,50.00,98.00,96.00,73.00,50.00,86.50
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,AL,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,CH,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,DE,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,FR,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,GB,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,IE,49.00,98.49,101.00,78.00,55.00,87.22
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,KE,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,MT,49.00,96.04,96.00,73.00,50.00,84.77
b3102dfc-447d-4d80-8f04-e741657e3dfb,Al Hiza Enchandeur Roll-On Perfume,US,49.00,96.04,96.00,73.00,50.00,84.77
